,n_ele,n_muon,n_jets,n_bjets,n_photons,met,met_phi,energy1,trans_momentum1,pseudo_rapidity1,phi1,energy2,trans_momentum2,pseudo_rapidity2,phi2,energy3,trans_momentum3,pseudo_rapidity3,phi3,energy4,trans_momentum4,pseudo_rapidity4,phi4,energy5,trans_momentum5,pseudo_rapidity5,phi5,energy6,trans_momentum6,pseudo_rapidity6,phi6,energy7,trans_momentum7,pseudo_rapidity7,phi7,energy8,trans_momentum8,pseudo_rapidity8,phi8
0,0,2,1,0,0,11.292929454946714,-1.3821,12.352183953173414,11.32591131516365,-1.67974,2.03935,11.959020549164288,10.543940457792894,-2.09314,1.40693,10.16635169204527,10.066847128591553,0.453526,-0.571804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,2,0,0,11.43183904615299,-0.500404,12.543633575024465,11.92140602203885,-1.23402,-3.00884,11.47280010274534,11.268313099040366,-0.61165,1.82424,11.191441146256647,11.180010294481512,-0.0053776,-0.387836,11.085095108856438,10.769173174222288,-0.837325,0.108838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,2,0,0,11.471558530330407,2.29773,13.726079164185625,10.45571036536627,3.96315,-1.62398,13.221719905144449,11.654858960858896,-2.24894,-1.13677,12.41790041418606,11.404006402967921,-1.67238,2.74585,11.442920295568305,11.161668673441087,0.781606,-0.252672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,1,0,0,11.459957084197983,-1.57653,12.022552370560579,11.699114533290672,-0.848264,2.45306,11.368409389592145,11.31697627231721,-0.316674,1.496,10.873283031732269,10.056929409779432,-1.45663,2.22554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,2,2,0,0,11.917042998841282,-1.74941,11.94577224981961,11.901386825262207,-0.28563,1.14163,11.462278277600053,11.216618303144749,0.729962,2.18418,11.35374917790744,10.69174489289773,-1.2808,-0.715659,11.339484756445678,10.901223700136418,-0.999,2.61116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,2,1,0,0,10.834339749801197,2.99617,12.555489311786792,10.86635266220389,2.37316,-0.00536837,10.655775902199244,10.650116256563082,0.106456,3.13688,10.062591658153899,10.017722077446528,-0.301781,-0.0353361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,1,2,0,0,11.115575837089077,-1.63395,12.046871734726933,12.042788717613357,-0.0208782,1.72074,11.509888859145967,11.426206772417057,0.414828,-0.808075,11.237190408536401,10.680849494866896,1.15482,-1.07805,11.112901526811447,10.207034361902389,-1.55063,-2.18675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,0,1,0,0,10.879800371798126,0.224167,12.137070845431934,11.152966563311502,-1.64034,-2.90123,11.885591861327006,11.195509694983613,1.3118,-0.776355,10.72696318929171,10.720755421117989,-0.111546,2.35951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,2,1,0,0,10.946396838327987,2.11871,11.920142371117164,11.600496685218372,-0.842761,1.02255,11.585608851454896,11.209029996219348,-0.923195,1.68188,11.399312099145572,11.079347878190154,0.805785,-1.19254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,1,1,0,0,12.212919154607231,0.797698,12.64936326317832,12.07421413856612,-1.17268,-2.24993,12.14649247808133,11.609089825313008,1.13159,1.9251,11.032918367459558,10.372525090265698,1.27892,2.87384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,2,2,0,0,10.954111605404282,3.07617,12.43347909775738,11.27105515740298,1.83017,-0.616865,12.305220905020036,11.804086478881437,1.08646,1.91926,11.404052119878783,10.131363886544946,-1.94295,1.27959,10.80491842150326,10.740509943504062,-0.354491,-0.581594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,1,4,0,0,11.69544700176685,-0.336512,13.54083947430463,11.785240060290887,2.44112,2.2569,12.681262801463209,10.272862508833049,-3.09921,2.76573,12.072409815696732,10.485996425475287,2.26632,1.075,11.921924322026532,11.636425460955842,-0.792056,2.61754,11.894132032931612,11.295802503478413,1.19715,-2.51342,11.350491237767466,10.845346611012163,-1.0915,-0.838747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,2,1,0,0,12.872244234485171,1.7632,13.227535675350312,12.850717370528596,-0.923318,-1.40182,12.33127696410704,10.987292417081289,-2.01967,2.76794,11.26146216846614,10.338116562916634,-1.57449,1.57186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1,1,1,0,1,12.084548872029929,-2.40276,12.434605647628821,11.741406745228918,1.31702,0.283849,12.047768351377924,11.466858489554259,-1.17642,1.33826,11.84333651249848,11.559608649110599,0.789379,-2.50187,9.629024390698628,9.317543189553197,0.830826,-2.86596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1,1,2,0,0,11.496008171093218,-0.859486,11.377559247225996,11.295123869966652,-0.338226,2.47132,11.029869017129503,10.340683858805747,-1.3096,2.61099,10.905223602436127,10.732794543402413,-0.604254,0.733895,10.348474610472532,10.332467343975956,-0.179388,0.0362908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,2,1,0,0,13.146517308346423,0.306427,13.154948663182012,13.13549083406183,0.14745,-2.86021,12.36672783935106,12.365833274412022,0.0423718,0.737762,12.116186230485651,12.104183874165688,-0.155254,-0.889536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1,1,2,0,0,11.060939341226671,-0.896713,11.883046602305937,11.658764556186767,0.695033,-1.10006,11.738721495349463,10.16014711454798,-2.2587,0.314135,11.560448159572696,11.217044540264084,-0.86351,2.32191,10.73394149005558,10.088916775529496,1.26092,-2.66577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1,1,2,0,0,12.491871696208726,-3.13538,12.987777714946901,11.886548967222234,-1.76366,-1.57197,12.612110922678909,12.58499868740116,-0.229441,0.595744,11.456723299661238,10.487776440676434,1.62398,-0.26771,11.44762078374029,9.932740482760877,-2.19572,1.21576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2,0,1,0,0,11.24394737731222,-2.80377,12.181764583990567,11.41829495413861,-1.39727,1.3761,11.777448935135965,10.408641120564663,-2.04537,-0.286396,11.600377578154724,11.220367524771662,-0.923029,-1.52039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2,0,6,0,0,11.200331655922165,-2.55249,13.980236550106488,12.663731642369035,-1.99012,0.648398,13.572405341708068,11.52335093045381,-2.7379,-2.64314,12.809620557942349,11.941683833047685,1.5133,-1.70346,12.60612312093684,11.259305953453664,2.02198,1.66185,12.471064224812249,11.965267797633855,-1.09231,-2.41086,12.13822732963508,10.782690973934315,2.03092,0.626314,10.903884111040384,10.84192326429467,-0.355672,2.37472,10.295093734508209,10.256816906223763,0.240989,0.488094
20,2,0,3,0,0,11.717350920671109,-2.28607,12.191928081163951,11.980476088054898,0.66118,0.345053,11.840688457414355,10.126094960150986,-2.39798,-2.96547,11.126368466549575,10.380559889496727,-1.36818,2.45389,10.504149309907552,10.431889798474451,-0.384745,3.04537,10.153658549570839,10.150675701646419,-0.0772509,0.722644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,2,2,0,0,11.18074520462755,2.26366,12.723788477200909,10.558595321930772,2.85472,-0.81752,12.428363833686095,11.727028271632289,1.3264,2.65135,12.011789837336943,11.32164872999439,1.31348,-0.928242,10.525431384589657,10.334314967638486,-0.623121,-0.722697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,2,1,0,0,10.852270643640527,1.54111,12.000934764814847,10.826120132314877,1.84321,2.04596,11.896676520171638,10.821760318881593,1.73568,-1.48369,10.774331026498345,9.629484823118572,1.81165,2.06199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,2,2,0,0,12.146572079226567,0.467783,12.73017967960208,10.584880926958554,-2.83427,-2.88402,12.352240115595153,11.937061841675353,-0.969121,-2.61167,12.100712129872347,12.098877113926617,-0.060544,0.327345,11.121166497111979,10.848892327566992,0.771831,2.74041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,2,3,0,0,12.113162084336826,0.626762,13.058159733522443,12.225787033639273,-1.47445,0.906605,12.513509550018313,11.605787195221366,-1.55547,-2.52366,12.020477737161741,11.669476119695279,-0.887624,-1.34216,11.495845428059024,11.362780252537247,0.50515,-2.82381,10.481473569826429,10.344950236348279,0.493586,-0.441626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1,1,2,0,0,11.821262742347043,1.48061,13.092677067033968,11.067536396488412,2.71367,-3.07643,12.453401363632738,11.956302738148255,1.08139,-0.865593,12.37983265666222,11.634000852660579,1.37728,1.14263,12.021698984610088,10.50943879362129,-2.19258,-3.01296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,1,0,1,0,12.590831518211271,2.83175,12.172381416562708,12.145531457733025,-0.23276,-2.70307,12.107781527139903,12.107687743608773,-0.0136937,-0.592993,11.93952564560835,11.51854961972045,-0.977657,0.230849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1,1,1,0,0,11.144974325894324,-1.35795,13.661641171903547,11.266825418141877,3.08539,2.43869,11.795145145687446,10.823979447154832,-1.62637,0.572241,11.127912772999741,11.104220112937112,0.21853,2.35493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1,1,2,0,0,13.096370469796689,0.882282,13.24497562252435,11.573343006523496,2.35497,-2.70353,12.925983463359334,12.913292835133822,0.154397,-2.25634,11.148651723156165,10.796759370404695,0.888873,2.59491,10.710119656197318,10.687035152455243,0.215697,-0.646835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1,1,0,1,0,11.21430781647059,0.298432,13.225428861490762,11.373219621021523,-2.53811,1.56596,12.026329761100957,11.817744851217862,-0.668554,-2.09875,10.58957990622237,10.589426314762761,0.017295,-1.34469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,2,2,0,0,11.914523104051902,-0.434874,12.55996371809229,11.488407337156502,-1.734,-1.85555,12.191273679018101,12.149772098911013,-0.276919,2.91212,11.899934638584268,10.719128876260353,-1.84773,0.038261,10.719305802825232,10.546390887844094,-0.605154,2.14289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2,0,3,0,0,11.698533282755333,-2.50479,13.659420331765741,10.82081974190511,3.53081,-3.05746,13.143574815781559,10.449149291137577,3.3863,-1.71865,12.094571090004472,11.760956731792216,-0.849748,1.32652,11.438981787011784,11.435181197192176,-0.0872318,-0.0110185,10.903201732474066,10.89322946949802,0.141461,-1.02108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2,0,1,0,0,11.670083048100633,0.00752301,12.263761196600324,12.25462468611234,0.135382,-0.972112,12.233103984581204,12.180995834144897,0.32564,2.29543,11.626602303950422,11.400832336048971,0.692729,2.89082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1,1,2,0,0,12.850426036914117,-2.14961,12.73300584298825,12.552014192099167,-0.59337,0.581555,12.311297151939161,12.177853195955276,-0.528172,2.08598,12.043683119424125,11.943908860965244,-0.454165,-2.04374,10.971166294434312,10.961828042520713,-0.0659312,0.0500719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1,1,2,0,0,11.954259521492636,0.150529,12.582956506767143,12.234353933068066,-0.882688,-2.32833,11.788798079462511,11.299925295180637,-1.05123,2.21227,11.171562689133102,10.857326445782162,0.83486,1.04298,10.025908704371966,9.966429487307723,0.348294,-0.442493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1,1,2,0,0,12.04367135617135,2.8945,12.794678419315442,11.330183419783419,-2.144,1.14978,12.304432715143255,12.280906425650128,0.188532,-0.9675,11.494609751669325,11.494225709287514,-0.0276916,1.79473,10.993839148774445,10.201063023527395,1.42776,1.55163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,2,1,0,0,11.301357161240407,0.672037,11.990549981347325,11.851424218247358,-0.539799,1.918,11.397318185638477,11.163681414854587,-0.664345,-2.65317,11.148565351334055,11.129538334760085,-0.195694,0.278999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
