#class tools::histo::h1d
#title Target deposited energy
#dimension 1
#axis fixed 100 0 500
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,35.2515,1242.67
1,1,1,40.5148,1641.45
1,1,1,48.1349,2316.97
2,2,2,108.062,5840.15
4,4,4,232.565,13531.8
0,0,0,0,0
3,3,3,202.082,13621.9
2,2,2,146.388,10716.6
6,6,6,469.204,36700.1
6,6,6,497.951,41335.5
10,10,10,879.638,77402.2
4,4,4,373.421,34865
7,7,7,674.048,64913.5
7,7,7,714.531,72949.3
3,3,3,324.602,35125
7,7,7,791.03,89404.6
5,5,5,587.477,69031
7,7,7,857.523,105061
8,8,8,1015.15,128821
7,7,7,926.854,122735
7,7,7,971.546,134850
3,3,3,424.386,60036.8
2,2,2,295.1,43544.5
8,8,8,1211.48,183465
10,10,10,1568.91,246161
7,7,7,1140.55,185848
2,2,2,339.107,57497
3,3,3,519.132,89845.3
7,7,7,1240.72,219917
4,4,4,730.413,133381
2,2,2,373.638,69803.7
1,1,1,192.958,37232.8
1,1,1,197.344,38944.5
6,6,6,1210.56,244249
1,1,1,205.122,42075
2,2,2,425.14,90373
2,2,2,438.524,96151.8
3,3,3,673.646,151266
4,4,4,911.465,207697
2,2,2,466.274,108710
2,2,2,475.563,113086
1,1,1,242.613,58861.1
1,1,1,249.994,62497
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,3,3,803.998,215472
1,1,1,273.37,74731.1
0,0,0,0,0
1,1,1,281.16,79050.9
0,0,0,0,0
0,0,0,0,0
2,2,2,593.897,176359
1,1,1,300.243,90146.1
2,2,2,618.124,191040
1,1,1,313.204,98097
1,1,1,317.426,100759
1,1,1,321.895,103617
0,0,0,0,0
0,0,0,0,0
1,1,1,338.133,114334
1,1,1,344.162,118447
0,0,0,0,0
0,0,0,0,0
1,1,1,356.688,127227
1,1,1,361.36,130581
1,1,1,367.091,134756
0,0,0,0,0
0,0,0,0,0
1,1,1,383.902,147381
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,836.806,350127
0,0,0,0,0
1,1,1,428.049,183226
1,1,1,430.201,185073
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,491.367,241441
3,3,3,1496.66,746671
1,1,1,573.571,328984
