#class tools::histo::h1d
#title Shield deposited energy
#dimension 1
#axis fixed 100 0 500
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
2,2,2,0.510999,0.26112
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,28.3913,806.066
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,56.2289,3161.69
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,83.9613,7049.51
1,1,1,89.2157,7959.45
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,112.321,12616
0,0,0,0,0
1,1,1,120.521,14525.3
1,1,1,126.665,16044
0,0,0,0,0
1,1,1,139.932,19581.1
3,3,3,426.396,60608.2
1,1,1,149.467,22340.3
0,0,0,0,0
1,1,1,159.44,25421.1
1,1,1,162.849,26519.8
0,0,0,0,0
2,2,2,342.266,58573.3
2,2,2,351.574,61802.2
1,1,1,181.12,32804.4
0,0,0,0,0
1,1,1,194.981,38017.5
2,2,2,391.881,76786.8
0,0,0,0,0
1,1,1,207.305,42975.4
1,1,1,213.438,45555.9
1,1,1,216.776,46991.7
1,1,1,224.941,50598.3
2,2,2,456.268,104093
0,0,0,0,0
3,3,3,709.535,167814
1,1,1,243.824,59450.1
2,2,2,495.818,122921
1,1,1,251.086,63044
0,0,0,0,0
2,2,2,523.688,137130
2,2,2,538.611,145051
3,3,3,816.247,222094
2,2,2,552.775,152781
1,1,1,282.046,79549.8
1,1,1,285.325,81410.6
3,3,3,875.548,255531
1,1,1,298.901,89341.7
8,8,8,2420.19,732185
3,3,3,918.807,281404
5,5,5,1562.78,488471
3,3,3,952.417,302369
1,1,1,322.868,104244
5,5,5,1633.14,533437
3,3,3,995.098,330074
5,5,5,1692.79,573113
3,3,3,1026.92,351530
8,8,8,2778.92,965311
4,4,4,1414.12,499936
6,6,6,2142.88,765329
7,7,7,2537.78,920072
6,6,6,2200.8,807253
3,3,3,1119.05,417439
7,7,7,2643.05,997985
5,5,5,1916.85,734871
6,6,6,2323.72,899956
7,7,7,2746.22,1.07741e+06
8,8,8,3176.33,1.26115e+06
10,10,10,4024.03,1.6193e+06
5,5,5,2033.52,827048
3,3,3,1241.22,513540
6,6,6,2497.85,1.03988e+06
7,7,7,2952.9,1.24567e+06
3,3,3,1283.74,549342
2,2,2,863.889,373154
2,2,2,874.258,382170
2,2,2,881.672,388674
3,3,3,1341.49,599868
1,1,1,451.55,203897
0,0,0,0,0
1,1,1,461.009,212529
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
