#class tools::histo::h1d
#title Shield deposited energy
#dimension 1
#axis fixed 100 0 500
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
3,3,3,3.25521,7.79184
1,1,1,8.55606,73.2062
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,135.73,9213.15
1,1,1,71.4072,5098.99
1,1,1,78.3291,6135.45
1,1,1,80.8147,6531.01
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,129.957,16888.7
2,2,2,266.498,35512.2
0,0,0,0,0
0,0,0,0,0
1,1,1,148.192,21960.9
0,0,0,0,0
1,1,1,156.768,24576.2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,353.077,62332.6
2,2,2,363.155,65943.8
2,2,2,375.155,70378.4
0,0,0,0,0
2,2,2,396.992,78801.4
0,0,0,0,0
0,0,0,0,0
1,1,1,210.8,44436.8
1,1,1,217.663,47377.1
1,1,1,222.976,49718.2
1,1,1,226.974,51517.3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,495.389,122707
1,1,1,253.476,64250
3,3,3,768.788,197014
3,3,3,789.34,207689
4,4,4,1068.31,285333
3,3,3,815.521,221694
4,4,4,1112.1,309196
1,1,1,284.105,80715.7
5,5,5,1440.77,415178
2,2,2,584.819,171007
3,3,3,889.202,263562
1,1,1,301.878,91130.5
0,0,0,0,0
6,6,6,1879.9,589007
5,5,5,1592.09,506956
3,3,3,965.534,310755
6,6,6,1965.09,643609
8,8,8,2661.84,885682
10,10,10,3373.68,1.13819e+06
3,3,3,1026.74,351407
4,4,4,1384.95,479526
6,6,6,2117.43,747255
5,5,5,1788.28,639605
3,3,3,1088.61,395022
8,8,8,2936.37,1.07781e+06
10,10,10,3723.37,1.38637e+06
10,10,10,3768.57,1.42022e+06
4,4,4,1531.47,586358
4,4,4,1553.38,603254
3,3,3,1178.21,462733
5,5,5,1982.62,786166
7,7,7,2818.66,1.13499e+06
8,8,8,3259.84,1.32833e+06
8,8,8,3294.12,1.35641e+06
3,3,3,1251.96,522472
2,2,2,845.155,357144
3,3,3,1283.71,549301
1,1,1,434.248,188571
4,4,4,1745.08,761328
0,0,0,0,0
1,1,1,446.099,199004
1,1,1,453.094,205294
1,1,1,456.73,208602
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
