#class tools::histo::h1d
#title Target deposited energy
#dimension 1
#axis fixed 100 0 500
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,22.8523,522.228
2,2,2,57.8601,1675.61
2,2,2,63.2225,1999.04
3,3,3,115.723,4465.77
5,5,5,211.87,8985.11
2,2,2,90.8965,4131.31
5,5,5,264.617,14013
9,9,9,519.266,29979.3
7,7,7,437.139,27314.6
6,6,6,406.073,27487.3
9,9,9,652.998,47394.1
3,3,3,230.926,17777
7,7,7,575.978,47413.1
6,6,6,529.606,46753.8
15,15,15,1384.37,127788
7,7,7,678.329,65747.6
5,5,5,510.02,52036.8
1,1,1,106.563,11355.7
5,5,5,562.436,63271
5,5,5,588.46,69262.7
8,8,8,983.15,120837
6,6,6,762.652,96954.5
2,2,2,263.541,34731.5
5,5,5,681.704,92945
9,9,9,1289,184631
2,2,2,292.086,42657.4
7,7,7,1064.81,161984
4,4,4,635.302,100903
2,2,2,325.658,53030.4
0,0,0,0,0
0,0,0,0,0
3,3,3,534.893,95371.4
4,4,4,728.98,132860
0,0,0,0,0
1,1,1,193.134,37300.7
3,3,3,597.556,119025
3,3,3,605.157,122078
1,1,1,208.628,43525.6
2,2,2,428.444,91783.1
1,1,1,215.48,46431.8
1,1,1,221.646,49126.8
1,1,1,227.931,51952.6
3,3,3,694.743,160899
0,0,0,0,0
1,1,1,244.245,59655.7
2,2,2,494.899,122464
3,3,3,756.017,190529
1,1,1,259.331,67252.5
1,1,1,261.566,68416.9
1,1,1,268.721,72211.2
1,1,1,272.015,73992.4
2,2,2,558.763,156108
0,0,0,0,0
2,2,2,577.544,166780
0,0,0,0,0
1,1,1,299.416,89649.8
0,0,0,0,0
1,1,1,306.091,93691.7
2,2,2,624.687,195120
0,0,0,0,0
0,0,0,0,0
1,1,1,325.129,105709
1,1,1,331.278,109745
0,0,0,0,0
1,1,1,341.26,116458
0,0,0,0,0
1,1,1,350.125,122588
0,0,0,0,0
0,0,0,0,0
1,1,1,369.814,136762
1,1,1,373.173,139258
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,396.518,157226
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,841.97,354457
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
